shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
8006640shape,33.65131,-117.83503,0,
8006640shape,33.65146,-117.83563,1,
8006640shape,33.6518,-117.83648,2,
8006640shape,33.6522,-117.83711,3,
8006640shape,33.6528,-117.83782,4,
8006640shape,33.65349,-117.83856,5,
8006640shape,33.65294,-117.83937,6,
8006640shape,33.65264,-117.83966,7,
8006640shape,33.65207,-117.84009,8,
8006640shape,33.65173,-117.84045,9,
8006640shape,33.65148,-117.84088,10,
8006640shape,33.65133,-117.84115,11,
8006640shape,33.65109,-117.84188,12,
8006640shape,33.65099,-117.84182,13,
8006640shape,33.64702,-117.82948,14,
8006640shape,33.64894,-117.83008,15,
8006640shape,33.63951,-117.82629,16,
8006640shape,33.63951,-117.82629,17,
8006640shape,33.63966,-117.82615,18,
8006640shape,33.63971,-117.82626,19,
8006640shape,33.63969,-117.82636,20,
8006640shape,33.63959,-117.82639,21,
8006640shape,33.63951,-117.82629,22,
8006640shape,33.63966,-117.82615,23,
8006640shape,33.6397,-117.82591,24,
8006640shape,33.63976,-117.82571,25,
8006640shape,33.63989,-117.82542,26,
8006640shape,33.64004,-117.82523,27,
8006640shape,33.64036,-117.82495,28,
8006640shape,33.64071,-117.82471,29,
8006640shape,33.64135,-117.82437,30,
8006640shape,33.64159,-117.82426,31,
8006640shape,33.64193,-117.82413,32,
8006640shape,33.64304,-117.82383,33,
8006640shape,33.65099,-117.84182,34,
8006640shape,33.6507,-117.84167,35,
8006640shape,33.65016,-117.84121,36,
8006640shape,33.64983,-117.84086,37,
8006640shape,33.6498,-117.84076,38,
8006640shape,33.64924,-117.83991,39,
8006640shape,33.64894,-117.83008,40,
8006640shape,33.64853,-117.83199,41,
8006640shape,33.64795,-117.83468,42,
8006640shape,33.64786,-117.83525,43,
8006640shape,33.64924,-117.83991,44,
8006640shape,33.64856,-117.83886,45,
8006640shape,33.64842,-117.8386,46,
8006640shape,33.64815,-117.83796,47,
8006640shape,33.64806,-117.83774,48,
8006640shape,33.64793,-117.83725,49,
8006640shape,33.64777,-117.83629,50,
8006640shape,33.64776,-117.83538,51,
8006640shape,33.64777,-117.8351,52,
8006640shape,33.64797,-117.83402,53,
8006640shape,33.6488,-117.83015,54,
8006640shape,33.64699,-117.82957,55,
8006640shape,33.64702,-117.82948,56,
8006640shape,33.64786,-117.83525,57,
8006640shape,33.64938,-117.83541,58,
8006640shape,33.6501,-117.83536,59,
8006640shape,33.65131,-117.83503,60,
8006640shape,33.6488,-117.83015,61,
8006640shape,33.64699,-117.82957,62,
8006640shape,33.64304,-117.82383,63,
8006640shape,33.64342,-117.82377,64,
8006640shape,33.64365,-117.82375,65,
8006640shape,33.64381,-117.82374,66,
