trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
8006640-2,,19:00:00,8274064,0,,0,0,1,1,,1
8006640-2,,,8197554,1,,0,0,1,1,,0
8006640-2,,,8197568,2,,0,0,1,1,,0
8006640-2,,19:05:00,8274066,3,,0,0,1,1,,0
8006640-2,,19:10:00,8197572,4,,0,0,1,1,,1
8006640-2,,,8197574,5,,0,0,1,1,,0
8006640-2,,,8197576,6,,0,0,1,1,,0
8006640-2,,19:14:00,8197558,7,,0,0,1,1,,1
8006640-2,,,8197560,8,,0,0,1,1,,0
8006640-2,,19:16:00,8197580,9,,0,0,1,1,,1
8006640-2,,,8197582,10,,0,0,1,1,,0
8006640-2,,,8197584,11,,0,0,1,1,,0
8006640-2,,19:22:00,8274068,12,,0,0,1,1,,0
8006640-2,,,8197578,13,,0,0,1,1,,0
8006640-2,,19:00:00,8274064,14,,0,0,1,1,,1
8006640-3,,19:10:00,8274064,0,,0,0,1,1,,1
8006640-3,,,8197554,1,,0,0,1,1,,0
8006640-3,,,8197568,2,,0,0,1,1,,0
8006640-3,,19:15:00,8274066,3,,0,0,1,1,,0
8006640-3,,19:20:00,8197572,4,,0,0,1,1,,1
8006640-3,,,8197574,5,,0,0,1,1,,0
8006640-3,,,8197576,6,,0,0,1,1,,0
8006640-3,,19:24:00,8197558,7,,0,0,1,1,,1
8006640-3,,,8197560,8,,0,0,1,1,,0
8006640-3,,19:26:00,8197580,9,,0,0,1,1,,1
8006640-3,,,8197582,10,,0,0,1,1,,0
8006640-3,,,8197584,11,,0,0,1,1,,0
8006640-3,,19:32:00,8274068,12,,0,0,1,1,,0
8006640-3,,,8197578,13,,0,0,1,1,,0
8006640-3,,19:10:00,8274064,14,,0,0,1,1,,1
8006640-4,,19:20:00,8274064,0,,0,0,1,1,,1
8006640-4,,,8197554,1,,0,0,1,1,,0
8006640-4,,,8197568,2,,0,0,1,1,,0
8006640-4,,19:25:00,8274066,3,,0,0,1,1,,0
8006640-4,,19:30:00,8197572,4,,0,0,1,1,,1
8006640-4,,,8197574,5,,0,0,1,1,,0
8006640-4,,,8197576,6,,0,0,1,1,,0
8006640-4,,19:34:00,8197558,7,,0,0,1,1,,1
8006640-4,,,8197560,8,,0,0,1,1,,0
8006640-4,,19:36:00,8197580,9,,0,0,1,1,,1
8006640-4,,,8197582,10,,0,0,1,1,,0
8006640-4,,,8197584,11,,0,0,1,1,,0
8006640-4,,19:42:00,8274068,12,,0,0,1,1,,0
8006640-4,,,8197578,13,,0,0,1,1,,0
8006640-4,,19:20:00,8274064,14,,0,0,1,1,,1
8006640-5,,19:30:00,8274064,0,,0,0,1,1,,1
8006640-5,,,8197554,1,,0,0,1,1,,0
8006640-5,,,8197568,2,,0,0,1,1,,0
8006640-5,,19:35:00,8274066,3,,0,0,1,1,,0
8006640-5,,19:40:00,8197572,4,,0,0,1,1,,1
8006640-5,,,8197574,5,,0,0,1,1,,0
8006640-5,,,8197576,6,,0,0,1,1,,0
8006640-5,,19:44:00,8197558,7,,0,0,1,1,,1
8006640-5,,,8197560,8,,0,0,1,1,,0
8006640-5,,19:46:00,8197580,9,,0,0,1,1,,1
8006640-5,,,8197582,10,,0,0,1,1,,0
8006640-5,,,8197584,11,,0,0,1,1,,0
8006640-5,,19:52:00,8274068,12,,0,0,1,1,,0
8006640-5,,,8197578,13,,0,0,1,1,,0
8006640-5,,19:30:00,8274064,14,,0,0,1,1,,1
8006640-6,,19:40:00,8274064,0,,0,0,1,1,,1
8006640-6,,,8197554,1,,0,0,1,1,,0
8006640-6,,,8197568,2,,0,0,1,1,,0
8006640-6,,19:45:00,8274066,3,,0,0,1,1,,0
8006640-6,,19:50:00,8197572,4,,0,0,1,1,,1
8006640-6,,,8197574,5,,0,0,1,1,,0
8006640-6,,,8197576,6,,0,0,1,1,,0
8006640-6,,19:54:00,8197558,7,,0,0,1,1,,1
8006640-6,,,8197560,8,,0,0,1,1,,0
8006640-6,,19:56:00,8197580,9,,0,0,1,1,,1
8006640-6,,,8197582,10,,0,0,1,1,,0
8006640-6,,,8197584,11,,0,0,1,1,,0
8006640-6,,20:02:00,8274068,12,,0,0,1,1,,0
8006640-6,,,8197578,13,,0,0,1,1,,0
8006640-6,,19:40:00,8274064,14,,0,0,1,1,,1
8006640-7,,19:50:00,8274064,0,,0,0,1,1,,1
8006640-7,,,8197554,1,,0,0,1,1,,0
8006640-7,,,8197568,2,,0,0,1,1,,0
8006640-7,,19:55:00,8274066,3,,0,0,1,1,,0
8006640-7,,20:00:00,8197572,4,,0,0,1,1,,1
8006640-7,,,8197574,5,,0,0,1,1,,0
8006640-7,,,8197576,6,,0,0,1,1,,0
8006640-7,,20:04:00,8197558,7,,0,0,1,1,,1
