trip_id,service_id,route_id,shape_id,trip_headsign,trip_short_name,direction_id,block_id,wheelchair_accessible,bikes_allowed
H-2-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-3-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-4-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-5-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-6-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-7-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-8-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-9-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-10-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-11-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-12-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-13-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-14-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-15-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-16-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-17-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-18-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-19-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-20-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-21-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-22-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-23-monthurs,monthurs,8006640,8006640shape,,,0,,1,1
H-2-fri,fri,8006640,8006640shape,,,0,,1,1
H-3-fri,fri,8006640,8006640shape,,,0,,1,1
H-4-fri,fri,8006640,8006640shape,,,0,,1,1
H-5-fri,fri,8006640,8006640shape,,,0,,1,1
H-6-fri,fri,8006640,8006640shape,,,0,,1,1
H-7-fri,fri,8006640,8006640shape,,,0,,1,1
H-8-fri,fri,8006640,8006640shape,,,0,,1,1
H-9-fri,fri,8006640,8006640shape,,,0,,1,1
H-10-fri,fri,8006640,8006640shape,,,0,,1,1
H-11-fri,fri,8006640,8006640shape,,,0,,1,1
H-12-fri,fri,8006640,8006640shape,,,0,,1,1
H-13-fri,fri,8006640,8006640shape,,,0,,1,1
H-14-fri,fri,8006640,8006640shape,,,0,,1,1
H-15-fri,fri,8006640,8006640shape,,,0,,1,1
H-16-fri,fri,8006640,8006640shape,,,0,,1,1
H-17-fri,fri,8006640,8006640shape,,,0,,1,1
H-18-fri,fri,8006640,8006640shape,,,0,,1,1
H-19-fri,fri,8006640,8006640shape,,,0,,1,1
H-20-fri,fri,8006640,8006640shape,,,0,,1,1
H-21-fri,fri,8006640,8006640shape,,,0,,1,1
H-22-fri,fri,8006640,8006640shape,,,0,,1,1
H-23-fri,fri,8006640,8006640shape,,,0,,1,1
N-2-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-3-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-4-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-5-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-6-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-7-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-8-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-9-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-10-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-11-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-12-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-13-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-14-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
N-15-monthurs,monthurs,8006668,8006668shape,,,0,,1,1
